,Stock_00,Stock_01,Stock_02,Stock_03,Stock_04,Stock_05,Stock_06,Stock_07,Stock_08,Stock_09,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20,Stock_21,Stock_22,Stock_23,Stock_24,Stock_25,Stock_26,Stock_27,Stock_28,Stock_29
2022-01-03,0.0007738904849503901,0.008086458892444208,0.030907241687143,0.004725572017216127,0.008186942710704616,-0.000804913351213169,0.004992324579556998,-0.004539958274682028,0.011119317319934359,0.018561551679350658,0.028471677042570424,-0.028917758866819625,-0.007818424794567633,0.003820146719944972,-0.013290122844808912,-0.004230260523114515,-0.010244942121043252,0.01292821137299902,-0.004918966041552026,-0.005959609546668095,0.0011206672722162579,0.028907670865256762,0.01672047871113613,-0.04079415077291842,0.004871950156664628,0.023159485801266987,0.021262550862162714,0.014702227397558327,-0.021165399442283926,-0.021030683182923
2022-01-04,0.039730471324838396,-0.0008398694893349337,0.027121874897753615,0.011877943989241978,0.025687918375810293,-0.004175402680289108,-0.012952892589726338,0.018134550534807434,-0.0305624024812743,-0.022225930892940202,-0.0336669557278368,-0.010964532501603567,-0.014452416711515205,-0.0005265873831282323,0.006591428338571284,0.0026588103621230865,-0.004894210378015801,0.014221019447528722,0.004372931483100945,0.024833691752482682,0.015508897108003,-0.03001754491095065,0.035005778562503906,0.012436342841770243,-0.027303287930780722,-0.023893347732721736,-0.013563401859805828,0.00803603387453865,0.003701760933260653,0.03284653178979812
2022-01-05,0.05804948968923747,-0.03463623284073582,-0.015234600960291764,-0.00017612466543028758,-0.0016425059655624592,0.010510061357629495,0.018242226596544585,0.02807048628305116,-0.01664894188269996,0.03405240227188696,-0.02093668360787139,0.002060099218142117,-0.027186346433339188,-0.02005378520677291,0.003650462242493063,0.020126448600686027,-0.007593979920977835,-0.012368847714537952,-0.034501810278460575,-0.031323886166707095,0.004994504258899933,0.00390110962538264,0.015308112833945509,-0.0013811328348347883,-0.011105286255546196,-0.0030521033795064645,-0.003953371950033223,0.006193452179261929,-0.005015644709985948,-0.007154110264623595
2022-01-06,-0.042186967452092515,0.03237229099568466,-0.014343287256507145,-0.0019197532434298728,-0.012670760436369798,-0.010769974006847198,-0.004785918815477445,0.010058222679380622,0.016032615272755877,-0.026392464744821917,0.037345704072813166,-0.031409834774738514,0.029354042965498636,0.0030388532360022297,0.004492886072943552,0.0025888623158028907,0.020816972261091672,0.000480608371309707,-0.03235884121020209,-0.016714199696555253,0.0133477516353521,-0.0039048401031376787,-0.024353235594285916,0.008479699530093022,0.016650651345178503,-0.01584049626924333,-0.003954853047323517,0.01269252007455802,-0.00894285773198473,-0.0009823379816546753
2022-01-07,0.022101003384381156,-0.013715610083661624,0.0266482738742296,-0.0013791669390596363,-0.02508178391313237,0.0033756403831021044,0.07480833866543955,-0.014520676223760349,0.015427426804092682,-0.003972171565642766,0.0019130879901712269,0.012764808042629878,-0.0006002199404482565,0.034603658627456235,0.02131977690743324,0.019454832511411634,-0.004095216458830502,0.013628686712616134,0.015431725151842447,-0.028839292435465045,0.012050602654870483,0.021373184556410102,-0.014305955595258386,-0.010874568348691247,0.005918178791252716,-0.005646390729300825,0.00816668531729906,0.014142552070691134,0.01010254725274678,-0.012054025502275778
2022-01-10,0.005225886674654498,0.006305185250191112,0.006346294797148248,-0.022267370008670365,-0.01417607165205539,0.0191454604888251,-0.012947086619689853,0.031199849369651315,-0.031475801524075454,0.012778868335134414,0.0058074987919923705,0.02798296980253174,8.404072787171544e-05,-0.014483154148340617,0.033795441763433756,-0.006617867528149437,0.003162787094701636,0.006210015405453708,-0.004740717751488593,-0.0024962631577037015,0.014766135209168776,0.03227697254963894,-0.03184107596419967,-0.016796149832439336,-0.013254769285950334,-0.018356266791765663,0.03259623497751606,0.04032158821907055,0.003273765096897508,0.0033550809213060456
2022-01-11,0.031347493222309133,0.028948009574973017,0.0019390795748819986,0.012171135683689997,-0.029557124904744228,-0.014210447098080784,0.04012182657842841,-0.009200509549842514,0.03552698626552654,-0.0013618281018825543,0.0042208930170516325,-0.0013116942099856716,0.002505630349083583,0.03065074628032375,-0.0017418350219846174,-0.013945436473959603,0.028171262833422885,0.0010863722443176615,-0.028707216883841428,-0.0374594826480896,0.025358951900892504,0.01857368365552076,-0.01227934368835515,-0.010874234928533075,-0.01929796012125755,-0.0055016556910947294,0.006533729181291327,-0.015866028221262426,-0.020377072436612405,-0.011246301496220487
2022-01-12,-0.00720639803913706,-0.0036305416380878223,-0.022452412166224407,-0.021124404766535373,-0.010985904174360659,-0.008022639978963624,0.020004277275375855,-0.015570558553688768,0.00305982516252525,-0.019770037161971926,0.018736651231498837,0.002141195444896468,-0.002693381534633649,0.0024385314815735513,-0.0112735162857482,1.0805414630628242e-05,0.0365435153071295,-0.0013680663267050725,-0.009143963519837988,-0.029354233512128954,0.028511209933365048,-0.0024025737194694366,0.0029969215434156597,0.02626649476152622,-0.013917138885826937,-0.001516236150818429,-0.0072045960280583245,0.018162528186081644,-0.035240215186615464,0.03869428189606856
2022-01-13,0.038395206422382124,0.008784074878862675,0.008285181810417324,-0.027469993444249798,0.01223595339036379,0.019170685766770012,-0.012545471371020547,-0.014863763938024539,-0.02588835497907427,-0.043182548222143076,-0.022410994995116375,0.04334786812548099,0.015088531258431542,-0.02784585607264342,0.02012563545814034,-0.010917433187565427,0.018299029243387315,-0.011481924921529623,0.0346652096368371,0.04948731608536327,0.011679251364346095,0.016197744242574197,0.009747459744232323,0.015398272879577622,0.03647808837938114,0.020552217083415942,0.010460988220972162,0.03672465426553791,0.04915222094771538,0.0034992274551424265
2022-01-14,0.00985841326224478,0.0033594574113505297,0.007984630298311328,-0.01340397328759897,-0.012907691399718353,0.026158775173584392,-0.016906170022418354,-0.00481523277594467,0.011033463505060966,0.01957433314522726,-0.031368779270619936,-0.012253531701739576,0.005171156012633465,0.0015671772353350985,0.014367934577141217,0.0019386144106338227,-0.032545912780417116,0.01329874788600704,0.00995680294544557,0.0007448684058032288,0.04251281233050316,-0.01963061423027052,-0.012296855312187367,0.01200716987876752,-0.008063094474469722,0.0032607170864941536,-0.028673492466049846,-0.022145650387125588,0.004008390863786513,-0.017066959654793035
